sigla,grupo,has_diretivo,has_entregas,url_diretivo,url_entregas
ABIN,,False,True,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/abin_ptd_anexo_de_entregas_assinado_pelo_orgao_assinado_assinado_copia_tarjada.pdf
AEB,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/aeb_ptd_2025_2027_docdiretivo_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/aeb_ptd_2025_2027_anexo_de_entregas_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf
AGU,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf
ANA,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ana_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ana_ptd_2025_2027_anexoentregas_assinado_assinado_assinado.pdf
ANAC,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anac_ptd_2025_2026_docdiretivo_se_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anac_ptd_2025_2026_anexo_de_entregas_se_assinado.pdf
ANATEL,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anatel_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anatel_ptd_2025_2026_anexo_de_entregas_do_ptd_publicado.pdf
ANCINE,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ancine_ptd_2024_2026_docdiretivo_assinado-2_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ancine_ptd_2024_2026_-_anexo_de_entregas_aprovado_assinado-2_assinado_assinado-copia_tarjada.pdf
ANEEL,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_aneel_2025-2027_docdiretivo_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_aneel_2025-2027_anexo_de_entregas_assinado.pdf
ANM,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anm_ptd_2025_2027_docdiretivo_assinadopeloorgao_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anm_ptd_2025_2027_anexo_entregas_assinadopeloorgao.pdf
ANPD,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf
ANS,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ans-plano_de_transformacao_digital_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ans_ptd_2025_2026_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf
ANTAQ,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/antaq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/antaq_ptd_2025_2027_anexoentregas_assinado_assinado_assinado-copia_tarjada.pdf
ANTT,MT,False,True,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf
ANVISA,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anvisa_ptd_docdiretivo_2025-2026_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anvisa_ptd_anexo_de_entregas_2025_2026_assinado_assinado_assinado-copia_tarjada.pdf
BCB,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/bcb_documento_diretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/bcb_anexo_de_entregas_ptd_25_26-1_assinado_assinado_copia_tarjada.pdf
CADE,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cade_ptd_docdiretivo_2025_2026_assinado-2_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cade_ptd_anexo_de_entregas_2025_2026_assinado_copia_tarjada.pdf
CAPES,MEC,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf
CENSIPAM,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
CEX,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
CGU,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cgu_ptd_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cgu_ptd_anexo_de_entregas_pactuadas_assinado_assinado_assinado-copia_tarjada.pdf
CM,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
CNPQ,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cnpq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-1-1.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cnpq_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf
COAF,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/coaf_ptd_2025_2026_documento_diretivo_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/coaf_ptd_2025_2026_anexo_de_entregas-2_assinado_assinado-copia_tarjada.pdf
CODEVASF,MIDR,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_midr-docdiretivo_aprovado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_midr_-_anexo_de_entregas_-_aprovado_assinado.pdf
COMAER,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
CONAB,MDA,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mda-documento-diretivo-assinado_ptd-2025-207-copia-tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mda-documento-diretivo-assinado_ptd-2025-207-copia-tarjada.pdf
CVM,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cvm_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cvm_ptd_2025_2027_anexoentregas_assinado_assinado_assinado.pdf
DNIT,MT,False,True,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf
DNOCS,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/dnocs_ptd_doc_diretivo_2025_2026_assinado_orgao-2_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/dnocs_anexo_de_entregas_repactuado_2025_2026_assinado_assinado_assinado.pdf
EBSERH,MEC,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf
FBN,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fbn_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fbn_ptd_2025_2027_anexo_de_entregas_assinado-1.pdf
FCP,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fcp_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fcp_ptd_2025_2027_anexo_de_entregas_assinado-1.pdf
FCRB,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fcrb_ptd_2025_2026_docdiretivo_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fcrb_ptd_2025_2026_anexo_de_entregas_aprovado_assinado-1_assinado_assinado-copia_tarjada.pdf
FIOCRUZ,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_novo-ptd_2-1_docdiretivo_repactuacao_2024-2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fiocruz_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf
FNDE,MEC,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf
FOSORIO,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
FUNAI,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/funai_ptd_2025_2027_docdiretivo_assinado-1_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/funai_anexo_de_entregas_repactuado_2026_2027_assinado_assinado_assinado.pdf
FUNARTE,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/funarte_ptd_docdiretivo_assinado_21_01_2025_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/funarte_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf
FUNDACENTRO,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fundacentro_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/fundacentro_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf
FUNDAJ,MEC,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf
HFA,MD,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf
IBAMA,MMA,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_docdiretivo_assinado_2025_2026-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_anexo_de_entregas_aprovado_final_assinado_assinado-copia_tarjada.pdf
IBC,MEC,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf
IBGE,,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ibge_docdiretivo_2025_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ibge_ptd_25_26_anexo_de_entregas_modelo_v2-1_assinado-1_assinado_assinado_copia_tarjada.pdf
ICMBIO,MMA,True,True,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_docdiretivo_assinado_2025_2026-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_anexo_de_entregas_aprovado_final_assinado_assinado-copia_tarjada.pdf
